ContactsContactID,VanID,ResultID,CanvassedBy,CommitteeID,CreatedBy,DateCreated,DateCanvassed,InputTypeID,ContactTypeID,ChangeTypeId,ErrorMessage
1880439,101555277,14,2196065,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 7:27:00 PM,14,2,1,
1880440,101555409,14,2196065,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 10:22:00 PM,14,2,1,
1880441,101555418,14,2196065,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:40:00 PM,14,2,1,
1880442,101555598,14,2196065,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 7:12:00 PM,14,2,1,
1880443,101555708,14,2196065,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 10:24:00 PM,14,2,1,
1880444,101555815,14,2196065,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 6:59:00 PM,14,2,1,
1880445,101555868,14,2196065,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 10:12:00 PM,14,2,1,
1880446,101552724,14,2196065,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 7:16:00 PM,14,2,1,
1880447,101553909,14,2196065,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:31:00 PM,14,2,1,
1880448,101555223,14,2196065,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 7:41:00 PM,14,2,1,
1880449,101548408,1,2194893,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 10:06:00 PM,14,2,1,
1880450,101548437,3,2194893,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 10:04:00 PM,14,2,1,
1880451,101548561,3,2194893,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 10:21:00 PM,14,2,1,
1880452,101548605,1,2194893,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:51:00 PM,14,2,1,
1880453,101548705,1,2194893,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 10:01:00 PM,14,2,1,
